Company Name,Profile URL,Overall Rating,Total Reviews,Industry,Company Summary,Salary Rating,Job Security Rating,Work-Life Balance Rating,Scraped At
JPMorgan Chase & Co.,https://www.ambitionbox.com/overview/jpmorgan-chase-and-co-dot-overview,3.799999952316284,7851,Financial Services,"JPMorgan Chase & Co. (NYSE: JPM) is a leading financial services firm with assets of $3.7 trillion and operations worldwide. The firm is a leader in investment banking, financial services for consumers and small businesses, commercial banking, financial transaction processing and asset management. Under the J.P. Morgan and Chase brands, the firm serves millions of customers, predominantly in the U.S., and many of the world’s most prominent corporate, institutional and government clients globally. We put our customers first, building with their needs in mind, providing worldclass service and growing to reach people, businesses and communities everywhere. We take pride in what we do and care deeply about our customers, communities and each other. We have a culture of teamwork, trust, humanity and humility. We create space for people to bring their full selves to work. We’re distinguished by our capacity to imagine and build. Our innovations are powered by a deep understanding of our customers and clients. We bring our capabilities and experience to bear on the toughest challenges in the world. We lead with expertise, foresight and fortitude to deliver exceptional results. We face facts and make disciplined decisions grounded in data, with a long-term view. We strive to stand up for what we believe in and do the right thing. Our quality and rigor at scale are unmatched. We attract world-class talent and create an environment where they can thrive. We set high expectations, commit to strong performance and hold ourselves accountable to the highest standards of integrity.",3.7,3.9,3.6,2026-05-13 02:41:52
Delhivery,https://www.ambitionbox.com/overview/delhivery-overview,3.799999952316284,7817,"Logistics, Internet, Logistics / Shipping, Urban Transport, Ports & Shipping","We are India’s largest fully integrated logistics provider. We aim to build the operating system for commerce, through a combination of world-class infrastructure, logistics operations of the highest quality and cutting-edge engineering and technology capabilities. Since its inception in 2011, our team has successfully fulfilled over 2 billion orders across India. We have built a nation-wide network with a presence in every state, servicing over 18,600 pin codes. 24 automated sort centres, 94 gateways, 2880 direct delivery centres, and a team of over 57,000 people make it possible for us to deliver 24 hours a day, 7 days a week, 365 days a year.",3.5,3.6,3.5,2026-05-13 02:41:58
ICICI Prudential Life Insurance,https://www.ambitionbox.com/overview/icici-prudential-life-insurance-overview,3.9000000953674316,7776,"Insurance, Financial Services","ICICI Prudential Life Insurance Company Limited (ICICI Prudential Life) is promoted by ICICI Bank Limited and Prudential Corporation Holdings Limited. ICICI Prudential Life began its operations in the fiscal year 2001. On a retail weighted received premium basis (RWRP), it has consistently been amongst the top companies in the Indian life insurance sector. Our Assets Under Management (AUM) on 31st March 2022 were `2,404.92 billion. At ICICI Prudential Life, we operate on the core philosophy of customer-centricity. We offer long-term savings and protection products to meet the different life stage requirements of our customers.",3.9,3.9,3.7,2026-05-13 02:42:01
Hexaware Technologies,https://www.ambitionbox.com/overview/hexaware-technologies-overview,3.4000000953674316,7694,"IT Services & Consulting, BPO/KPO","We're a community of 32,000+ Hexawarians dedicated to one singular purpose: creating smiles through great people and technology. With a presence in 54 offices across 28 countries, we enable enterprises worldwide to embark on their digital transformation journey with scale and speed. As an employer of choice for over three decades, we're more than just a workplace. We put people at the center of everything we do. Our diverse and inclusive work environment, paired with dynamic learning and development programs, empowers our teams to innovate, collaborate, and drive meaningful change. We’re driven by our shared vision of becoming the world’s most loved digital transformation partner—a trusted ally in shaping a brighter tomorrow. Visit www.hexaware.com to learn more about how we’re transforming lives and businesses globally.",3.0,3.3,3.4,2026-05-13 02:42:07
Ujjivan Small Finance Bank,https://www.ambitionbox.com/overview/ujjivan-small-finance-bank-overview,4.0,7634,"Banking, Financial Services","Ujjivan Small Finance Bank (USFB) Limited is among the leading small finance banks in the country. As a mass market bank, it remains committed to serve the unserved and underserved segments through financial and digital inclusion. We are now a one-stop destination for financial services and offer personalised customer experience to our wide customer base. With technology as a key enabler, Ujjivan Small Finance Bank continues to expand its reach and enhance customer experience. The strengthened digital interfaces, across regions and languages has empowered our customers to seek timely and easy access to finance; at all times. This has further enabled the Bank to deepen its customer connect across diverse locations. As a ‘Responsible Bank’ we stay invested in creating a sustainable social impact through community development and financial literacy initiatives. Ujjivan Financial Services Limited (UFSL) commenced operations as an NBFC in 2005, with the mission to provide a full range of financial services to the ‘economically active poor’ who were not adequately served by financial institutions. On receipt of License from RBI, UFSL set up Ujjivan Small Finance Bank (USFB) and USFB commenced its Banking operations from February 1, 2017. We are a ‘scheduled bank’ included in the Second Schedule to the Reserve Bank of India Act, 1934 and a listed Entity. Our IPO in 2019 was oversubscribed 170 times, and it was widely considered to be the best IPO in the last four years across the banking and financial services sector. The Bank has a Pan-India presence, with over 89 lakh customers, 752 banking touchpoints across 326 districts, 26 states and Union Territories, Our convenient alternative channels and digital footprint across internet banking, mobile application, tablet-based origination and phone banking among others, provide 24x7 access to full services of the Bank.",3.8,3.9,3.9,2026-05-13 02:42:10
Hindustan Unilever ,https://www.ambitionbox.com/overview/hindustan-unilever-overview,4.199999809265137,7193,"FMCG, Biotech & Life sciences, Healthcare / Pharma, Retail, Pharma","We’re driven by our purpose: to make sustainable living commonplace. With 90 years of heritage in India, Hindustan Unilever Limited (HUL) is India’s largest fast-moving consumer goods company. On any given day, nine out of ten Indian households use one or more of our brands, giving us a unique opportunity to build a brighter future. We are known for our great brands, the positive social impact we create and our belief in doing business the right way.",3.9,4.0,4.0,2026-05-13 02:42:14
ITC,https://www.ambitionbox.com/overview/itc-overview,3.9000000953674316,7181,"FMCG, Fashion & Textile, Hospitality, Pulp & Paper, Printing & Publishing","ITC is one of India's foremost private sector companies and a diversified conglomerate with businesses spanning Fast Moving Consumer Goods, Hotels, Paperboards and Packaging, Agri-Business, and Information Technology. The Company is acknowledged as one of India's most valuable business corporations with a Gross sales value of ₹ 76,097.31 crores and a Net Profit of ₹ 15,136.05 crores (as of 31.03.2020). ITC was ranked as India's most admired company, according to a survey conducted by Fortune India, in association with Hay Group. ITC is the country's leading FMCG marketer, the clear market leader in the Indian Paperboard and Packaging industry, a globally acknowledged pioneer in farmer empowerment through its wide-reaching Agri Business, a pre-eminent hotel chain in India that is a trailblazer in 'Responsible Luxury'. ITC's wholly-owned subsidiary, ITC Infotech, is a specialized global digital solutions provider. Over the last decade, ITC's new Consumer Goods Businesses have established a vibrant portfolio of 25 world-class Indian brands that create and retain value in India. ITC's world-class FMCG brands including Aashirvaad, Sunfeast, Yippee!, Bingo!, B Natural, ITC Master Chef, Fabelle, Sunbean, Fiama, Engage, Vivel, Savlon, Classmate, Papercraft, Mangaldeep, Aim, and others have garnered encouraging consumer franchise within a short span of time. While several of these brands are market leaders in their segments, others are making appreciable progress.",3.5,4.1,3.6,2026-05-13 02:42:19
Megha Engineering & Infrastructures,https://www.ambitionbox.com/overview/megha-engineering-and-infrastructure-overview,3.9000000953674316,6954,Engineering & Construction,"Megha Engineering & Infrastructures Ltd (MEIL) is a multi-sector infrastructure company with a strong footprint across various sectors like hydrocarbons, electric buses, defence, telecom, power, transport, manufacturing, general and social infrastructure, irrigation, and drinking water. This $5bn company is taking giant strides globally. Leveraging the advantage of its strength in having a diversified portfolio in multifarious sectors, the company has made its presence felt in areas that have been key drivers of growth.",3.7,3.7,3.8,2026-05-13 02:42:24
Coforge,https://www.ambitionbox.com/overview/coforge-overview,3.299999952316284,6915,"IT Services & Consulting, Consulting, Financial Services, Emerging Technologies, Software Product","Transform at the Intersect. Thrive with Coforge. Coforge is a global digital services and solutions provider that fuses deep domain expertise with emerging technology to deliver real-world business impact. With a sharp focus on select industries, a product engineering-led approach, and an execution intensity that’s uniquely our own, we’ve emerged as the 7 th largest Indian IT services firm and the Fastest of the ‘Fastest Five’ per HFS Research—with a revenue growth rate nearly 8x the industry average. In FY25, we recorded $1.45 billion in revenue, and we enter FY26 with a $1.5 billion executable order book—a testament to the trust we’ve earned and the outcomes we engineer. Our DNA is rooted in AI-driven engineering excellence, powered by an exceptional partner ecosystem and a strong commitment to innovation. We help businesses transform into intelligent, high-growth enterprises through capabilities in Generative AI, Cloud, Data & Analytics, Low-Code Platforms, Intelligent Automation, Cybersecurity, and more. We operate across 25 countries, with 30 global delivery centers, and a thriving global workforce of 33,497 employees. ""We are somewhat atypical in our approach to solving business problems. We are specialists, not just engineers and technologists, who spend an inordinate amount of time understanding the targeted functional spaces that we focus on."" — Sudhir Singh, CEO, Coforge A Culture of Belonging. A Place to Grow. At Coforge, we believe growth is mutual—we advance when our people thrive. We offer a non-discriminatory, inclusive, and empowering work environment where every individual is given the space and support to succeed. We’ve been certified as a Great Place to Work® four years in a row, and have been recognized for excellence in Employee Engagement, Learning & Development, and Corporate Social Responsibility.",3.1,3.2,3.4,2026-05-13 02:42:28
Tata Projects,https://www.ambitionbox.com/overview/tata-projects-overview,4.199999809265137,6837,Engineering & Construction,"#StrongFoundationForStrongNation #BuildingNation #TransformingLives Tata Projects is one of the most admired Technology led Engineering, Procurement and Construction (EPC) companies in India. We have expertise in providing sustainable solutions in the execution of large and complex urban and industrial infrastructure projects while also demonstrating strong presence in refineries and petrochemical plants. We leverage our domain knowledge across various business segments to address the shift to clean energy to meet the nation’s Net Zero ambitions. We provide ready-to-deploy solutions for semiconductor facilities, giga factories, data centres, refineries, green fuels, roads, bridges, integrated rail & metro systems, commercial building & airports, power generation, transmission & distribution systems, chemical process plants, water & waste management, and mining & metal purification systems. Tata Projects offers one stop service covering entire life cycle of the project, from project conceptualization to operations & maintenance. It uses innovative technology solutions to offer bouquet of services which includes engineering, procurement, construction, commissioning, inspection & expediting, operations, repairs & maintenance, and shutdown services. Over the years, Tata Projects has received several awards and recognitions for its project delivery and commitment to safety & quality. We are a part of the TATA Group which operates in more than 100 countries across six continents, with a mission ‘To improve the quality of life of the communities we serve globally, through long-term stakeholder value creation based on Leadership with Trust’. In 2023-24, the revenue of Tata companies, taken together, was $165Billion. These companies collectively employ over 10,00,000 people.",4.2,4.0,4.0,2026-05-13 02:42:33
Bajaj Life Insurance,https://www.ambitionbox.com/overview/bajaj-life-overview,3.799999952316284,6645,"Insurance, Financial Services","Bajaj Life Insurance Limited, formerly known as Bajaj Allianz Life Insurance Company Limited, is one of India’s fastest-growing private life insurers. Our organisation has transitioned to being 100% owned by the Bajaj Group – a household name in India with a 100-year legacy of trust and credibility. As part of Bajaj Finserv Limited, one of the country’s most diversified and respected financial services groups, we bring innovation, a customer-first mindset, and technology-led solutions to the forefront. Today, we stand as a trusted partner to over 3.85 crore Indians in securing their future. At a glance, numbers you should know: ₹1,37,866 Cr Assets Under Management 343% Solvency Margin 99.29% Claim Settlement Ratio 597 Branches 1.64 Lakh+ Insurance Consultants (as on February, 2026) 28,000+ Bajaj Life Employees (as on February, 2026) We offer a diverse range of plans to support Life Goals at every stage. Our life insurance products ranging from ULIPs with Zero Allocation Charges to the SISO Investment Approach are built to drive long-term growth. Our holistic term plans address specific needs, whether it’s cover for diabetics, or the Superwoman Term Plan with enhanced critical illness benefits. Every product is thoughtfully designed to meet the Life Goals of millions of Indians. Driven by innovation and inclusivity, we remain committed in enabling customers achieve their Life Goals through value-driven, innovative products that are simple to understand, affordable and designed to address long-term needs such as protection, wealth creation, retirement planning, and more. These offerings are supported by a comprehensive suite of future driven, digital-first services across customer touchpoints, ensuring seamless accessibility and convenience. We have a robust distribution network of 597 branches and over 1,64,861 agents (as on February, 2026), complemented by partnerships with leading Indian banks as well as wide network of corporate agents, providing customers with convenient access to our products.",3.8,3.7,3.7,2026-05-13 02:42:37
Cholamandalam Investment & Finance,https://www.ambitionbox.com/overview/cholamandalam-investment-and-finance-overview,3.799999952316284,6634,Financial Services,"Cholamandalam Investment and Finance Company Limited (Chola), founded in 1978 as part of the Murugappa Group, initially focused on equipment financing. Over the years, Chola has transformed into a leading comprehensive financial services provider, offering a wide array of solutions including vehicle finance, home loans, SME loans, home equity loans, loan against property, consumer durable loans, and more. With a nationwide presence of 1,500+ branches and Assets Under Management (AUM) surpassing Rs. 1.77 lakh crore, Chola serves over 42.9 lakh happy customers. The company’s subsidiaries include Cholamandalam Securities Limited (CSEC), Cholamandalam Home Finance Limited (CHFL), and Payswiff Technologies Private Limited (Payswiff), enhancing its diverse portfolio. At Chola, our commitment is to foster growth and empowerment for customers, employees, shareholders, and communities alike. We are driven by a strong foundation of integrity, ethical values, and a deep sense of responsibility towards all our stakeholders. As we continue to grow and innovate, we aim to create sustainable value and contribute positively to the lives of those we serve, enabling them to enter a better life.",3.8,3.6,3.5,2026-05-13 02:42:41
L&T Technology Services,https://www.ambitionbox.com/overview/l-and-t-technology-services-overview,3.0999999046325684,6606,"IT Services & Consulting, Engineering & Construction","L&T Technology Services Limited (LTTS) is a global leader in Engineering and R&D (ER&D) services. With 470+ patents filed for 51 of the Global Top 100 ER&D spenders, LTTS lives and breathes engineering. Our innovations speak for itself – World’s 1st Autonomous Welding Robot, Solar ‘Connectivity’ Drone, and the Smartest Campus in the World, to name a few.",2.6,3.1,3.2,2026-05-13 02:42:46
FIS,https://www.ambitionbox.com/overview/fis-overview,3.799999952316284,6588,"FinTech, Software Product","FIS is a global leader in financial services technology, with a focus on retail and institutional banking, payments, asset and wealth management, risk and compliance, and outsourcing solutions. Through the depth and breadth of our solutions portfolio, global capabilities, and domain expertise, FIS serves more than 20,000 clients. Headquartered in Jacksonville, Florida. FIS employs more than 55,000 people worldwide and holds leadership positions in payment processing, financial software, and banking solutions. Providing software, services, and outsourcing of the technology that empowers the financial world, FIS is a Fortune 500 company and is a member of Standard & Poor’s 500® Index. For more information about FIS, visit www.fisglobal.com",3.5,3.4,4.0,2026-05-13 02:42:51
Oracle,https://www.ambitionbox.com/overview/oracle-overview,3.4000000953674316,6534,"Software Product, Financial Services, Internet, IT Services & Consulting","Oracle is the cloud leader for global business. Present in over 175 countries, we’re one of the biggest technology companies on the planet. With a fully integrated suite of cloud applications and infrastructure with global reach, we’re uniquely placed to transform businesses, empower governments, and energize nonprofits. Join us and you’ll drive meaningful change, work with innovative people, and shape the solutions that are making the world a better place. We put your potential in your hands with self-directed training, mentoring, and on-the-job learning. Share your aspirations and we’ll help you realize them. Culture and inclusion are part of everything we do. We thrive on the rich experiences and perspectives our people bring and so will you. We want you to ask questions, challenge how things are done, and innovate fearlessly. In return, you’ll get all the flexibility you need to bring your best self to your work. Explore careers today at oracle.com/in/careers",3.0,3.2,3.8,2026-05-13 02:42:56
